,event_name,source,relevant information about time,relevant information about affected areas,relevant information about number of people affected,relevant information about number of people dead,relevant information about number of people who became homeless or displaced,relevant information about number of people who were injured,relevant information about economic loss,relevant information about building damage
275,Typhoon Soudelor,https://en.wikipedia.org/wiki/Typhoon_Soudelor,"Typhoon Soudelor occurred from July 29, 2015 to August 12, 2015.","Typhoon Soudelor affected the Mariana Islands, Philippines, Taiwan, China, South Korea, and Japan.","A total of 58,255 people were affected by Typhoon Soudelor.",A total of 59 deaths were confirmed to be caused by Typhoon Soudelor.,"A total of 464 residents sought refuge in public shelters on Saipan, and 45,444 people sought refuge in public shelters in Taiwan.",A total of 420 people sustained injuries related to Typhoon Soudelor.,The total economic loss or damage was $4.09 billion (2015 USD) in Taiwan and ¥24.627 billion (US$3.97 billion) in China.,"384 homes were destroyed on Saipan, and a separate assessment by the American Red Cross showed 808 homes affected."
276,2002 Glasgow floods,https://en.wikipedia.org/wiki/2002_Glasgow_floods,"The 2002 Glasgow Floods occurred at the end of July and beginning of August 2002, with the heaviest rainfall falling on the night of Tuesday, 30 July 2002.","The East End of Glasgow was the worst affected district of the city, with Greenfield and Shettleston being evacuated. The West Coast Main Line, Glasgow to Edinburgh via Carstairs Line, Queen Street Station, Buchanan Street Subway Station, and parts of the Argyle Line were also affected. Roads in Sighthill, Springburn, and the main A82 and A8 Roads were badly affected by flooding.","About 140,000 people in Glasgow were affected by the floods.",NULL,Two hundred people were evacuated from their homes in Greenfield and Shettleston on the Tuesday night.,NULL,NULL,"Many of the homes affected were in working class areas, and the antiquated storm drain and sewer system in the East End of Glasgow was blamed for its inability to deal with the high capacity of surface runoff."
277,1991 Perfect Storm,https://en.wikipedia.org/wiki/1991_Perfect_Storm,"The 1991 Perfect Storm occurred from October 28, 1991, to November 2, 1991.","The areas affected by the 1991 Perfect Storm include the Mid-Atlantic states, Northeastern United States, and Eastern Canada.","Over a three-day period, the storm lashed the northeastern United States, causing damage to beachfront properties from North Carolina to Maine.",Thirteen deaths were confirmed caused by the 1991 Perfect Storm in total.,"Across seven states, damage totaled over $200 million (1991 USD), and hundreds of homes and businesses were damaged or destroyed, leading to people becoming homeless or displaced.","The storm left 14 people injured in Florida, and there were two injuries in Maine, although there were no fatalities.",The total economic loss or damage due to the 1991 Perfect Storm was over $200 million (1991 USD).,"In Massachusetts, over 100 homes were destroyed or severely damaged, and in Maine, a total of 49 houses were severely damaged, 2 were destroyed, and overall more than 100 were affected."
278,Cyclone Xaver,https://en.wikipedia.org/wiki/Cyclone_Xaver,Cyclone Xaver occurred from 4 December 2013 to 10 December 2013.,"The areas affected by Cyclone Xaver include northern Europe, specifically the coasts of the North and Irish Seas, as well as regions in the UK, Denmark, Sweden, Germany, Belgium, and the Jutland coast.","The text mentions that England reported about 1,710 homes flooded and two deaths. Additionally, there were floods in North Wales, Cumbria, Lincolnshire, Norfolk, Suffolk, and East Riding of Yorkshire. The storm also caused two deaths in the UK and one in Denmark. In Sweden, a total of seven people died.","The storm caused a total of 15 fatalities, including deaths in the UK, Denmark, and Sweden.",The text does not explicitly mention the number of people who became homeless or displaced due to Cyclone Xaver.,The text does not explicitly mention the number of people who were injured due to Cyclone Xaver.,Credit Suisse estimated the damage at between EUR1.4 billion and EUR1.9 billion. Catastrophe modeller AIR Worldwide estimated wind losses would be between EUR700 million and EUR1.4 billion. Perils AG gave an initial estimate of EUR680 million for insured property losses to the insurance industry.,"The text mentions various instances of building damage, including flooding in homes and commercial properties, damage to a stone-built Old Quay, destruction of beach huts and visitor centers, and overtopping or breaching of defence walls in Boston, Lincolnshire."
279,"2019 Quebec, Ontario and New Brunswick floods","https://en.wikipedia.org/wiki/2019_Quebec,_Ontario_and_New_Brunswick_floods","The 2019 spring floods occurred in Ontario, Quebec and New Brunswick from April to May.","In Quebec, 6681 residences of 51 municipalities were flooded in five main zones, including the greater Montreal area. In New Brunswick, 15 communities were affected.","Over 13,500 disaster victims were reported in Quebec, and 2200 Canadian soldiers were deployed to assist residents in the three provinces.","1 death was confirmed caused by the 2019 Quebec, Ontario and New Brunswick floods.","3458 residences were isolated due to landslides and submerged roads in Quebec, and 69 roads and 45 bridges were closed or partially closed in New Brunswick.",NULL,NULL,NULL
280,Tropical Storm Marco (2008),https://en.wikipedia.org/wiki/Tropical_Storm_Marco_(2008),"Tropical Storm Marco (2008) occurred from October 6, 2008 to October 7, 2008.","The areas affected by Tropical Storm Marco (2008) include Mexico, specifically the state of Veracruz.","An estimated 400,000 people were affected by the storm.",None reported,77 people were evacuated to nearby shelters after their homes were inundated with water.,NULL,"Minimal damage was recorded, and relief goods were distributed to the affected areas.","250 homes were flooded, and 3 landslides were reported, but none caused damage."
281,2015 Caribbean drought,https://en.wikipedia.org/wiki/2015_Caribbean_drought,The 2015 Caribbean drought is an ongoing drought affecting the Caribbean islands.,"The situation is further aggravated by the presence of an abnormal amount of dust and dry air over the southern Atlantic. Besides Puerto Rico, other Caribbean islands were affected by drought conditions to varying degrees, including Cuba, the Dominican Republic, Jamaica, St. Lucia, Trinidad and Tobago, and Guyana in the northeastern region of South America.","NBC reported that 2.5 million people were affected, while a press director from PRASA estimated that number to be closer to 400,000.",NULL,NULL,NULL,NULL,NULL
282,Hurricane Gladys (1975),https://en.wikipedia.org/wiki/Hurricane_Gladys_(1975),"Hurricane Gladys occurred from September 22, 1975 to October 4, 1975.",The areas affected by Hurricane Gladys were the Eastern United States and Newfoundland and Labrador.,NULL,None,NULL,NULL,NULL,NULL
283,1944 Great Atlantic hurricane,https://en.wikipedia.org/wiki/1944_Great_Atlantic_hurricane,"The 1944 Great Atlantic hurricane occurred from September 9, 1944 to September 16, 1944.",The areas affected by the 1944 Great Atlantic hurricane included the United States East Coast (especially New England) and Atlantic Canada.,300-400 people were primarily affected at sea.,A total of 28 people died throughout New England as a result of the storm.,NULL,One person was killed and 28 were injured in North Carolina.,The economic damage caused by the 1944 Great Atlantic hurricane was $100 million (1944 USD).,"The hurricane damaged 2,132 buildings and destroyed another 31 in Virginia."
284,Kingston Fossil Plant coal fly ash slurry spill,https://en.wikipedia.org/wiki/Kingston_Fossil_Plant_coal_fly_ash_slurry_spill,"The Kingston Fossil Plant coal fly ash slurry spill occurred on December 22, 2008.","The spill affected the Emory River, Clinch River, and surrounding land, covering up to 300 acres (1.2 km2) of the area.","Multiple homes were damaged, with 22 residences evacuated, and some damage to 42 residential properties reported.","By the ten year anniversary of the spill, more than 30 workers involved in the cleanup had died from illnesses related to exposure to the toxic coal ash.","One home was pushed entirely off its foundation, three were rendered uninhabitable, and 12 homes were covered by the sludge.","No injuries or hospitalizations were reported immediately after the spill, but research showed significant negative effects on mental health for people affected and in the area.",The cleanup cost TVA more than $1 billion and was completed in 2015 at a cost of approximately $1.134 billion.,"The spill damaged multiple homes, with one pushed off its foundation, three rendered uninhabitable, and some damage to 42 residential properties reported."
285,Cyclone Hikaa,https://en.wikipedia.org/wiki/Cyclone_Hikaa,"Cyclone Hikaa occurred from September 22, 2019, to September 25, 2019.",Cyclone Hikaa affected India and Oman.,"Six people required rescue when they were trapped on a bus in floodwaters in Haima, Oman.",Five confirmed fatalities from a capsized deep-sea fishing boat off of Masirah Island during the storm.,NULL,NULL,The damage total was estimated to be >$1 million (2019 USD) based on hundreds of properties reporting damage.,NULL
286,Typhoon Utor,https://en.wikipedia.org/wiki/Typhoon_Utor,"Typhoon Utor occurred from August 8, 2013, to August 18, 2013.","The areas affected by Typhoon Utor include the Philippines, Hong Kong, Macao, Guangdong, Guangxi, Jiangxi, and Hunan.","A total of 407,493 people were affected by the typhoon.",A total of 97 deaths were confirmed caused by Typhoon Utor.,"Roughly a third of the 407,493 people affected by the typhoon were displaced from their homes.","At least 18 people were killed in Guangdong Province, and 17 others were injured due to the typhoon.",The economic loss or damage due to Typhoon Utor amounted to $3.55 billion (2013 USD).,"2,592 homes were destroyed and 21,197 more were damaged by Typhoon Utor."
287,2011 Wollongong floods,https://en.wikipedia.org/wiki/2011_Wollongong_floods,The 2011 Wollongong floods occurred in March 2011.,"The floods occurred throughout Wollongong and the Illawarra regions of New South Wales, Australia.",Sixteen pre-school children and their carers were rescued at Jamberoo by the State Emergency Service. Dozens of people were rescued as highways were shut and trains suspended until the waters subsided.,"One man, presumed to be in his forties, was found dead 150 kilometres east from a stormwater bridge as torrential rain continued to fall across the Illawarra on 21 March.",NULL,NULL,NULL,"The Princes Highway was closed around Station Street, Albion Park and at Kiama after a tree fell and blocked the road. The Southern Freeway was closed at Berkeley and the Illawarra Highway was also closed."
